"County 
(by population size) ",Type of Law,"Population
(2023)",Area,City,"Report Category 
(type of incident reported)","Notes 
(explanation of ordinances with dates on when proposed/created/enforced)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colusa County,General Law,"22,037","1,151 sq mi
(2,981 km2)",Colusa,Past Ordinance,"Current municipal code only has a ordinance on use of RV for shelter. It states that it is unlawful and a public nuisance for any person to keep on a lot, or any place within the city, a RV for occupancy as living quarters, for a longer period than forty-eight hours unless it is kept and maintained on a regularly established auto and trailer camp operated under permits from the state and the city health department.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Williams,Past Ordinance,Current municipal code prohibts overnight camping in public parks. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"General note are reports say there are no encampments and no homeless individuals in the area, besides those ""passing through""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumas County,General Law,"19,131","2,554 sq mi
(6,615 km2)",County Wide,Proposed Ordinance,"Plumas County updated its camping ordinance in late 2024 under Section 9-2.405 of its zoning code, responding to the Supreme Court’s Grants Pass ruling that upheld local enforcement powers. Originally established in 1985, the revised rules impose stricter limits on where and how long camping is allowed, balancing economic, environmental, and public safety priorities.

The ordinance bans camping in ""Prime Opportunity Areas""—zones earmarked for development, conservation, or infrastructure—except in designated campgrounds. Outside these areas, camping on private land is allowed with the owner’s permission, compliance with health and safety rules, and a 120-day annual limit per property. Violations can lead to misdemeanor charges, fines, or encampment removal, though emergencies grant a 48-hour exemption before penalties kick in.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,County Wide,Anecdote/Interview,"Potential Litigation Risks
Plumas County’s ordinance mirrors aspects of the Grants Pass regulations currently challenged under Oregon’s HB 3115, which requires “objectively reasonable” homeless policies. Advocates could argue the county’s Prime Opportunity Areas disproportionately restrict access to public spaces, violating state nondiscrimination laws",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inyo County,General Law,"18,527","10,192 sq mi
(26,397 km2)",Bishop,Anecdote/Interview,"While Inyo County has not passed a countywide anti-encampment ordinance as of March 2025, Supervisor Jeff Griffiths advocated for coordinated action with Bishop to address encampments. During a November 2024 Board of Supervisors meeting, Griffiths emphasized that unhoused individuals “won’t magically disappear,” urging collaboration with health services and nonprofits like the Inyo-Mono Advocates for Community Action (IMACA). However, the county’s reliance on Mobile Crisis Units for outreach—rather than punitive measures—reflects a cautious approach compared to Bishop’s legislative urgency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bishop,Proposed Ordinance,"Following the Grants Pass ruling, Bishop quickly implemented anti-encampment measures. On November 4, 2024, Police Chief Nate Derr presented a draft ordinance to the City Council, inspired by Governor Newsom’s executive order, to strengthen enforcement against camping on public lands, with limited exceptions for extreme weather. 

The council adopted Ordinance 2024-02 on November 12 after a second reading, banning tents, bedding, or sleeping in vehicles on public property for more than 60 minutes, requiring 48-hour notice before clearing encampments (unless urgent), and mandating 60-day storage of belongings post-removal.

In December 2024, Bishop amended the ordinance to address sanitation issues linked to encampments, expanding prohibitions to include public urination, defecation, and fishing in city parks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariposa County,General Law,"16,919","1,451 sq mi
(3,758 km2)",No City,Past Ordinance,Makes unlawful camping (including laying out a sleeping bag) a misdemeanor punishable by 6 mos. in jail + $500 fine. Adopted 11/5/2024 (post-Grants Pass),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity County,General Law,"15,670","3,179 sq mi
(8,234 km2)",No City,,No ordinances or incidents re: camping/homelessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mono County,General Law,"13,066","3,044 sq mi
(7,884 km2)",Mammoth Lakes,"Past Ordinance, Statistics","Due to the mainly outside (and extreme weather) nature of Mammoth Lakes, there's very little homeless population, they have an emergency motel providing program & disaster relief programs for sudden homelessness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modoc County,General Law,"8,500","3,944 sq mi
(10,215 km2)",Alturas,Past Ordinance,"Homelessness Youth Programs exist, but could not find other information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra County,General Law,"3,200","953 sq mi
(2,468 km2)",,,"Note: total population of Sierra County is 3,200 - nothing to report",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine County,General Law,"1,141","739 sq mi
(1,914 km2)",No City,,No info - very small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note,"This dataset includes all 58 counties in California. 

It further encompasses 399 out of the state’s 483 incorporated municipalities, representing over 82% of cities and towns. 
- Municipalities not included were either not covered extensively or lacked significant ordinances or documented incidents related to camping and homelessness at the time of review.
- Data collection was conducted intermittently between September 2024 and April 2025, aligned with the academic calendar.

The breadth of this research captures a diverse cross-section of jurisdictions varying in population size, geographic location, and legal structure. As such, it serves as a leading resource for understanding how anti-homelessness ordinances are enacted and enforced across California.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles County ,San Diego County,Orange County,Riverside County,San Bernardino County,Santa Clara County,Alameda,Sacramento,Contra Costa County,Fresno County,Kern County,Ventura County,City and County of San Francisco,San Joaquin County,San Mateo County,Stanislaus County,Sonoma County,Tulare County,Solano County,Santa Barbara County,Monterey County,Placer County,Merced County,"Morro Bay has an ordinance encated between Martin and Grants Pass, which ",Santa Cruz County,Marin County,Yolo County,Butte County,El Dorado County,Shasta County,Imperial County,Madera County,Kings County,Humboldt County,Napa County,Nevada County,Sutter County,Mendocino County,Yuba County,San Benito County,Lake County,Tehama County,Tuolumne County,Calaveras County,Siskiyou County,Amador County,Lassen County,Glenn County,Del Norte County,Colusa County,Plumas County,Inyo County,Mariposa County,Trinity County,Mono County,Modoc County,Sierra County,Alpine County
Agoura Hills,Carlsbad ,Aliso Viejo ,Banning ,Adelanto ,Campbell,Albany,Sacramento,Antioch,Clovis,Bakersfield,Oxnard,San Francisco,Stockton,Atherton,Modesto,Cloverdale ,Dinuba ,Fairfield,Santa Maria,Salinas,Auburn,Atwater,Arroyo Grande,Capitola,Belvedere,Davis,Biggs,Placerville ,Anderson,Brawley,Chowchilla,Avenal,Arcata,American Canyon,Grass Valley,Live Oak,Fort Bragg,Marysville ,Hollister ,Clearlake,Corning,Sonora,Angels Camp,Dorris,Amador City,Susanville,Orland,Crescent City,Colusa,Portola,Bishop,,,Mammoth Lakes,Alturas,Loyalton,
Alhambra,Chula Visa ,Anaheim ,Beaumont ,Apple Valley ,Los Altos,Berkeley,Rancho Cordova,Brentwood,Sanger,Delano,Thousand Oaks,,Acampo,Belmont,Turlock,Cotati ,Exeter ,Vacaville,Santa Barbara,Seaside,Colfax,Dos Palos,Atascadero,Santa Cruz ,Corte Madera,West Sacramento,Chico,South Lake Tahoe,Redding ,Calexico,Madera,Corcoran,Blue Lake,Calistoga,Nevada City ,Yuba City ,Point Arena,Wheatland,San Juan Bautista,Lakeport,Red Bluff ,,,Dunsmuir,Ione,,Willows,,Williams,,,,,,,,
Arcadia,Coronado ,Brea ,Blythe ,Barstow ,Milpitas,Dublin,Isleton,Clayton,Reedley,Oildale,Simi Valley,,August,Brisbane,Ceres,Healdsburg ,Farmersville ,Suisun City,Lompoc,Monterey,Lincoln,Gustine,Grover Beach,Scotts Valley,Fairfax,Winters,Gridley,,Shasta Lake,Calipatria,,Hanford ,Eureka ,Napa ,Truckee,,Ukiah ,,,,Tehama,,,Etna,Jackson,,,,,,,,,,,,
Artesia,Del Mar ,Buena Park ,Calimesa ,Big Bear Lake ,Mountain View,Emeryville,Galt,Concord,Selma,Ridgecrest,† Ventura (San Buenaventura),,Collierville,Broadmoor,Riverbank,Petaluma,Porterville ,Benicia,Goleta,Soledad,Roseville,Livingston,Morro Bay,Watsonville,Larkspur,Woodland ,Oroville ,,,El Centro ,,Lemoore,Ferndale,St. Helena,,,Willits,,,,,,,Fort Jones,Plymouth,,,,,,,,,,,,
Avalon,El Cajon ,Costa Mesa ,Canyon Lake ,Chino Hills ,Santa Clara,Fremont,Folsom,El Cerrito,Parlier,Wasco,Camarillo,,Country Club,Burlingame,Oakdale,Rohnert Park ,Tulare ,Dixon,Carpinteria,Marina,Rocklin,Los Banos,Paso Robles,,Mill Valley,,Paradise,,,Holtville,,,Fortuna,Yountville,,,,,,,,,,Montague,Sutter Creek,,,,,,,,,,,,
Azusa,Encinitas ,Cypress ,Cathedral City ,Chino Hills ,Cupertino,Hayward,Elk Grove,Hercules,Kerman,Rosamond,Moorpark,,Dogtown,Colma,Patterson,Santa Rosa,Visalia ,Rio Vista,Guadalupe,Greenfield,Loomis,Merced,Pismo Beach,,Novato,,,,,Imperial,,,Rio Dell,,,,,,,,,,,Mount Shasta,,,,,,,,,,,,,
Baldwin Park,Escondido ,Dana Point ,Coachella ,Colton ,Los Altos Hills,Livermore,Citrus Heights,Lafayette,Coalinga,Shafter,Santa Paula,,Escalon,Daly City,Salida,Sebastopol ,Lindsay ,Hartley,Solvang,Pacific Grove,,,San Luis Obispo,,Ross,,,,,Westmorland,,,Trinidad,,,,,,,,,,,Tulelake,,,,,,,,,,,,,
Bell,Imperial beach ,Fountain Valley ,Corona ,Fontana ,Monte Sereno,Newark,,Martinez (county seat),Kingsburg,Arvin,Port Hueneme,,Farmington,East Palo Alto,Newman,Sonoma ,Woodlake ,Green Valley,Buellton,King City,,,,,San Anselmo,,,,,,,,,,,,,,,,,,,Weed,,,,,,,,,,,,,
Bell Gardens,La Mesa ,Fullerton ,Desert Hot Springs ,Grand Terrace ,Palo Alto,Oakland (county seat),,Oakley,Mendota,Rosedale,Fillmore,,French Camp,Foster City,Waterford,Windsor ,,Allendale,,Gonzales,,,,,San Rafael ,,,,,,,,,,,,,,,,,,,Yreka,,,,,,,,,,,,,
Bellflower,Lemon Grove ,Garden Grove ,Eastvale ,Hesperia ,Saratoga,Piedmont,,Orinda,Orange Cove,California City,Oak Park,,Garden Acres,Hillsborough,Hughson,,,Elmira,,Carmel-by-the-Sea,,,,,Sausalito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverly Hills,National City ,Huntington Beach ,Hemet ,Highland ,Gilroy,Pleasanton,,Pinole,Firebaugh,McFarland,Ojai,,Kennedy,Menlo Park,,,,Vallejo,,Del Rey Oaks,,,,,Tiburon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradbury,Oceanside ,Irvine ,Indian Wells ,Loma Linda ,Los Gatos,San Leandro,,Pittsburg,Huron,Lamont,El Rio,,Lathrop,Pacifica,,,,,,Sand City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burbank,Poway ,La Habra,Indo ,Montclair ,Morgan Hill,Union City,,Pleasant Hill,Fowler,Tehachapi,Mira Monte,,Lincoln Village,Redwood City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calabasas,San Diego ,La Palma ,Jurupa Valley ,Needles ,San José,,,Richmond,Old Fig Garden,Golden Hills,Oak View,,Linden,San Bruno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carson,San Marcos ,Laguna Beach ,La Quinta ,Ontario ,Sunnyvale,,,San Pablo,Mayfair,Taft,Meiners Oaks,,Lockeford,San Mateo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerritos,Santee ,Laguna Hills ,Lake Elsinore ,Rancho Cucamonga ,San Martin,,,San Ramon,Sunnyside,Bear Valley Springs,Santa Rosa Valley,,Lodi,South San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claremont,Solana Beach ,Laguna Niguel ,Menifee ,Redlands ,East Foothills,,,Walnut Creek,San Joaquin,Greenacres,Casa Conejo,,Manteca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,Vista ,Lake Forest ,Moreno Valley ,Rialto ,Burbank,,,Danville,Tarpey Village,Mojave,Channel Islands Beach,,Morada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compton,,Los Alamitos ,Murrieta,San Bernardino ,Cambrian Park,,,Moraga,Squaw Valley,Ford City,Piru,,Mountain House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covina,,Mission Viejo ,Norco ,Twenynine Palms ,Loyola,,,,Riverdale,Lake Isabella,Bell Canyon,,Peters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cudahy,,Newport Beach ,Palm Desert ,Upland ,Monte Sereno,,,,Caruthers,Greenfield,Lake Sherwood,,Ripon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culver City,,Orange ,Palm Springs ,Victorville ,,,,,Auberry,Stallion Springs,Somis,,Taft Mosswood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamond Bar,,Placentia ,Perris ,Yucaipa ,,,,,Easton,Frazier Park,Santa Susana,,Terminous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downey,,San Clemente ,Rancho Mirage ,Yucca Valley ,,,,,Calwa,Pine Mountain Club,Saticoy,,Thornton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duarte,,San Juan Capistrano ,Riverside ,,,,,,Laton,Lost Hills,,,Tracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Monte,,Seal Beach ,San Jacinto ,,,,,,Del Rey,Weldon,,,Victor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Segundo,,Stanton ,Temecula ,,,,,,Biola,Wofford Heights,,,Waterloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardena,,Trabuco Canyon ,Wildomar ,,,,,,West Park,Weedpatch,,,Woodbridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,,Tustin ,,,,,,,Minkler,Edwards AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendora,,,,,,,,,Malaga,South Taft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian Gardens,,,,,,,,,Tranquillity,Boron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawthorne,,,,,,,,,Shaver Lake,Bodfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hermosa Beach,,,,,,,,,Lanare,Taft Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidden Hills,,,,,,,,,Friant,China Lake Acres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntington Park,,,,,,,,,Cantua Creek,Kernville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry,,,,,,,,,Centerville,Buttonwillow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inglewood,,,,,,,,,Raisin City,Lebec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irwindale,,,,,,,,,Three Rocks,North Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cañada Flintridge,,,,,,,,,Fort Washington,Maricopa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Habra Heights,,,,,,,,,Cold Springs Rancheria,Inyokern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Mirada,,,,,,,,,Big Creek,Fuller Acres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Puente,,,,,,,,,Bowles,Mountain Mesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Verne,,,,,,,,,Monmouth,Lake of the Woods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakewood,,,,,,,,,Big Sandy Rancheria,Squirrel Mountain Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lancaster,,,,,,,,,Table Mountain Rancheria,Dustin Acres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawndale,,,,,,,,,Fresno,Smith Corner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lomita,,,,,,,,,,Valley Acres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Beach,,,,,,,,,,Keene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,,,,,,,,,,Onyx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynwood,,,,,,,,,,Derby Acres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malibu,,,,,,,,,,Edmundson Acres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manhattan Beach,,,,,,,,,,Mexican Colony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maywood,,,,,,,,,,Cherokee Strip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
